conv_id,turn_id,num_retrieved_docs,num_evidence_docs,num_prev_evidence_docs,found_ratio,ndcg@1,ndcg@5,ndcg@10,ndcg@20,ndcg@50
food_level3_dial26,1,100,1,0,1,0.0,0.0,0.0,0.0,0.0
food_level3_dial26,2,100,1,1,1,0.0,0.0,0.3010299956639812,0.3010299956639812,0.3010299956639812
food_level3_dial26,3,100,1,2,1,0.0,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575
food_level3_dial26,4,100,3,3,1,1.0,0.9674679834891693,0.9674679834891693,0.9674679834891693,0.9674679834891693
food_level3_dial26,5,100,1,6,1,0.0,0.5,0.5,0.5,0.5
food_level3_dial26,6,100,3,7,1,1.0,1.0,1.0,1.0,1.0
hobby_level1_dial16,1,100,1,0,1,1.0,1.0,1.0,1.0,1.0
hobby_level1_dial16,2,100,1,1,1,1.0,1.0,1.0,1.0,1.0
hobby_level1_dial16,3,100,2,2,1,1.0,1.0,0.8065735963827293,0.8065735963827293,0.8065735963827293
hobby_level1_dial16,4,100,4,3,1,1.0,0.9197207891481876,0.8451850618939637,0.8030070862657152,0.8030070862657152
hobby_level1_dial16,5,100,1,7,1,0.0,0.5,0.5,0.5,0.5
hobby_level1_dial16,6,100,3,8,1,1.0,0.9469024295259745,0.9469024295259745,0.9469024295259745,0.9469024295259745
top25_dial5,1,100,1,0,1,0.0,0.38685280723454163,0.38685280723454163,0.38685280723454163,0.38685280723454163
top25_dial5,2,100,3,1,1,0.0,0.5706417189553201,0.5706417189553201,0.5435875137737161,0.5435875137737161
top25_dial5,3,100,2,3,1,0.0,0.0,0.3562071871080222,0.3562071871080222,0.3421706376182506
food_level2_dial36,1,100,1,0,1,1.0,1.0,1.0,1.0,1.0
food_level2_dial36,2,100,1,1,1,0.0,0.5,0.5,0.5,0.5
food_level2_dial36,3,100,1,3,1,0.0,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575
food_level2_dial36,4,100,2,4,1,0.0,0.43067655807339306,0.43067655807339306,0.43067655807339306,0.43067655807339306
food_level2_dial36,5,100,1,6,1,1.0,1.0,1.0,1.0,1.0
food_level3_dial27,1,100,1,0,1,1.0,1.0,1.0,1.0,1.0
food_level3_dial27,2,100,1,1,1,0.0,0.38685280723454163,0.38685280723454163,0.38685280723454163,0.38685280723454163
food_level3_dial27,3,100,1,2,1,1.0,1.0,1.0,1.0,1.0
food_level3_dial27,4,100,0,3,0,0.0,0.0,0.0,0.0,0.0
food_level3_dial27,5,100,1,3,1,1.0,1.0,1.0,1.0,1.0
food_level3_dial27,6,100,1,4,1,0.0,0.43067655807339306,0.43067655807339306,0.43067655807339306,0.43067655807339306
food_level2_dial37,1,100,1,0,1,1.0,1.0,1.0,1.0,1.0
food_level2_dial37,2,100,1,1,1,1.0,1.0,1.0,1.0,1.0
food_level2_dial37,3,100,4,2,1,0.0,0.43067655807339306,0.43067655807339306,0.43067655807339306,0.43067655807339306
food_level2_dial37,4,100,1,6,1,1.0,1.0,1.0,1.0,1.0
food_level2_dial37,5,100,1,7,1,1.0,1.0,1.0,1.0,1.0
food_level2_dial37,6,100,2,8,1,1.0,0.9197207891481876,0.9197207891481876,0.9197207891481876,0.9197207891481876
food_level2_dial12,1,100,1,0,1,0.0,0.43067655807339306,0.43067655807339306,0.43067655807339306,0.43067655807339306
food_level2_dial12,2,100,1,2,1,0.0,0.5,0.5,0.5,0.5
food_level2_dial12,3,100,1,3,1,0.0,0.5,0.5,0.5,0.5
food_level2_dial12,4,100,2,4,1,1.0,1.0,1.0,1.0,1.0
food_level2_dial12,5,100,1,6,1,0.0,0.0,0.3562071871080222,0.3562071871080222,0.3562071871080222
food_level2_dial12,6,100,2,7,1,0.0,0.5,0.5,0.5,0.5
hobby_level2_dial2,1,100,1,0,1,0.0,0.38685280723454163,0.38685280723454163,0.38685280723454163,0.38685280723454163
hobby_level2_dial2,2,100,2,1,1,0.0,0.0,0.0,0.0,0.17905223175104137
hobby_level2_dial2,3,100,1,3,1,1.0,1.0,1.0,1.0,1.0
hobby_level2_dial2,4,100,2,4,1,0.0,0.0,0.0,0.0,0.1965616322328226
hobby_level2_dial2,5,100,1,6,1,0.0,0.5,0.5,0.5,0.5
hobby_level2_dial2,6,100,1,7,0,0.0,0.0,0.0,0.0,0.0
hobby_level3_dial33,1,100,1,0,1,0.0,0.38685280723454163,0.38685280723454163,0.38685280723454163,0.38685280723454163
hobby_level3_dial33,2,100,1,1,1,0.0,0.43067655807339306,0.43067655807339306,0.43067655807339306,0.43067655807339306
hobby_level3_dial33,3,100,1,2,1,0.0,0.0,0.0,0.0,0.0
hobby_level3_dial33,4,100,1,5,1,1.0,1.0,1.0,1.0,1.0
hobby_level3_dial33,5,100,1,6,1,0.0,0.0,0.0,0.0,0.21810429198553155
hobby_level3_dial33,6,100,1,7,1,0.0,0.0,0.3010299956639812,0.3010299956639812,0.3010299956639812
food_level1_dial1,1,100,1,0,1,0.0,0.0,0.2890648263178879,0.2890648263178879,0.2890648263178879
food_level1_dial1,2,100,1,1,1,0.0,0.0,0.3010299956639812,0.3010299956639812,0.3010299956639812
hobby_level1_dial17,1,100,1,0,0,0.0,0.0,0.0,0.0,0.0
hobby_level1_dial17,2,100,3,4,1,0.0,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575
hobby_level1_dial17,3,100,4,7,1,1.0,0.9674679834891693,0.9674679834891693,0.9674679834891693,0.9674679834891693
hobby_level1_dial17,4,100,1,11,1,0.0,0.38685280723454163,0.38685280723454163,0.38685280723454163,0.38685280723454163
hobby_level1_dial17,5,100,1,14,1,1.0,1.0,1.0,1.0,1.0
hobby_level1_dial17,6,100,1,16,1,0.0,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575
top25_dial23,1,100,3,0,1,0.0,0.5,0.5,0.5,0.5
top25_dial23,2,100,3,3,1,0.0,0.38685280723454163,0.38685280723454163,0.3842380534357064,0.3842380534357064
top25_dial23,3,100,2,5,1,0.0,0.0,0.0,0.0,0.18208790046993825
top25_dial23,4,100,2,7,1,1.0,1.0,1.0,1.0,1.0
top25_dial23,5,100,0,9,0,0.0,0.0,0.0,0.0,0.0
top25_dial23,6,100,1,10,1,0.0,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575
food_level3_dial28,1,100,1,0,1,0.0,0.0,0.31546487678572877,0.31546487678572877,0.31546487678572877
food_level3_dial28,2,100,1,2,1,1.0,1.0,1.0,1.0,1.0
food_level3_dial28,3,100,1,3,1,0.0,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575
food_level3_dial28,4,100,2,4,1,0.0,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575
food_level3_dial28,5,100,1,6,1,0.0,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575
food_level3_dial28,6,100,1,7,1,1.0,1.0,1.0,1.0,1.0
hobby_level2_dial20,1,100,3,0,1,0.0,0.6309297535714575,0.6309297535714575,0.5172016728623664,0.5172016728623664
hobby_level2_dial20,2,100,1,2,1,0.0,0.0,0.31546487678572877,0.31546487678572877,0.31546487678572877
hobby_level2_dial20,3,100,1,3,1,0.0,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575
hobby_level2_dial20,4,100,3,4,1,1.0,1.0,1.0,1.0,1.0
hobby_level2_dial20,5,100,1,7,1,0.0,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575
hobby_level2_dial20,6,100,1,8,1,1.0,1.0,1.0,1.0,1.0
top25_dial50,1,100,1,0,1,1.0,1.0,1.0,1.0,1.0
top25_dial50,2,100,1,1,1,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
top25_dial50,3,100,1,3,1,1.0,1.0,1.0,1.0,1.0
top25_dial50,4,100,2,7,1,1.0,0.9197207891481876,0.9197207891481876,0.9197207891481876,0.9197207891481876
top25_dial50,5,100,1,9,1,0.0,0.38685280723454163,0.38685280723454163,0.38685280723454163,0.38685280723454163
top25_dial50,6,100,1,11,1,0.0,0.43067655807339306,0.43067655807339306,0.43067655807339306,0.43067655807339306
hobby_level3_dial34,1,100,1,0,1,0.0,0.43067655807339306,0.43067655807339306,0.43067655807339306,0.43067655807339306
hobby_level3_dial34,2,100,2,1,1,0.0,0.6934264036172708,0.6934264036172708,0.6934264036172708,0.6934264036172708
hobby_level3_dial34,3,100,1,3,1,0.0,0.0,0.0,0.26264953503719357,0.26264953503719357
hobby_level3_dial34,4,100,1,4,1,0.0,0.43067655807339306,0.43067655807339306,0.43067655807339306,0.43067655807339306
hobby_level3_dial34,5,100,2,6,1,0.0,0.0,0.0,0.0,0.19195872000656014
hobby_level3_dial34,6,100,1,8,1,1.0,1.0,1.0,1.0,1.0
food_level1_dial10,1,100,1,0,1,1.0,1.0,1.0,1.0,1.0
food_level1_dial10,2,100,1,1,1,1.0,1.0,1.0,1.0,1.0
food_level1_dial10,3,100,1,2,1,1.0,1.0,1.0,1.0,1.0
